                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0208,                 2.9891,                  1.648,                0.18499,                0.33621,                0.14799,                0.10534,                 1.2399,                 2.8112,                 2.0796,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.0371,                 2.7048,                 1.7184,                0.56766,                0.86207,                0.63218,                0.44529,                0.58553,                 8.2706,                   1.22,              0.0001163,              0.0001163,              0.0001163
                      3,                0.70186,                 1.6853,                 1.3235,                0.73883,                 0.8094,                0.90653,                0.74638,                0.65959,                 4.8923,                 1.4514,             0.00018216,             0.00018216,             0.00018216
                      4,                0.70479,                  1.233,                 1.3299,                      1,                    0.5,                 0.4975,                0.46843,                 0.8382,                 6.9005,                 1.5739,             0.00024757,             0.00024757,             0.00024757
                      5,                0.66326,                 1.4949,                 1.2899,                0.88718,                0.88025,                0.97213,                0.74758,                0.63251,                 4.5536,                 1.2672,             0.00031255,             0.00031255,             0.00031255
                      6,                0.68501,                 1.1254,                 1.3029,                0.82425,                 0.7931,                0.78392,                0.53082,                 1.0683,                 9.3874,                 2.1212,             0.00037708,             0.00037708,             0.00037708
                      7,                0.61062,                 1.3399,                 1.2635,                0.79409,                0.91379,                0.92913,                0.59236,                 1.0996,                 10.042,                 2.0484,             0.00044118,             0.00044118,             0.00044118
                      8,                0.82828,                 1.2397,                 1.4506,                0.76637,                0.96552,                0.92427,                0.59538,                 0.7872,                 3.7428,                 1.5772,             0.00050483,             0.00050483,             0.00050483
                      9,                0.85036,                0.96095,                 1.3403,                 0.4174,                0.77586,                 0.5785,                0.21289,                 2.0483,                 8.3348,                 2.8855,             0.00056805,             0.00056805,             0.00056805
                     10,                0.88754,                 1.2188,                 1.4366,                0.08018,                0.90033,                0.08428,                 0.0623,                 1.0476,                 63.589,                 1.8721,             0.00063082,             0.00063082,             0.00063082
                     11,                0.79944,                 1.1756,                 1.3696,                0.98387,                    0.5,                0.58284,                0.49178,                0.88584,                 4.6678,                 1.6841,             0.00069316,             0.00069316,             0.00069316
                     12,                0.82133,                 1.1572,                  1.325,                0.44722,                0.51782,                0.42445,                0.34281,                 1.0525,                 18.921,                 2.1008,             0.00075505,             0.00075505,             0.00075505
                     13,                0.99307,                 1.5009,                 1.5209,                0.14414,                    0.5,                0.34855,                0.29011,                 1.0074,                 10.219,                 2.0589,              0.0008165,              0.0008165,              0.0008165
                     14,                0.93388,                 1.0768,                 1.4475,                0.29563,                0.68966,                0.61106,                0.30298,                 1.5682,                 8.0254,                 3.4907,             0.00087752,             0.00087752,             0.00087752
                     15,                0.78087,                0.95444,                  1.304,                 0.9375,                0.24138,                 0.4319,                0.18359,                 1.9269,                 8.7102,                 4.4631,             0.00093809,             0.00093809,             0.00093809
                     16,                0.99291,                 1.1218,                 1.5858,                 0.9375,                0.24138,                 0.4319,                0.18359,                 1.9269,                 8.7102,                 4.4631,             0.00099822,             0.00099822,             0.00099822
                     17,                0.86665,                  1.081,                  1.393,                0.58547,                0.44779,                0.44901,                0.12367,                  2.185,                  4.117,                 4.2597,              0.0010579,              0.0010579,              0.0010579
                     18,                0.79432,                 1.0293,                 1.4287,                0.94444,                0.13333,                0.23242,                0.08055,                 3.3506,                 27.933,                 14.522,              0.0011172,              0.0011172,              0.0011172
                     19,                0.97926,                 1.1582,                 1.5315,                0.94444,                0.13333,                0.23242,                0.08055,                 3.3506,                 27.933,                 14.522,               0.001176,               0.001176,               0.001176
                     20,                 1.1383,                 1.0655,                  1.688,                0.00641,                0.06724,                0.00354,                0.00128,                 4.0955,                    inf,                 31.672,              0.0012344,              0.0012344,              0.0012344
                     21,                 1.2417,                 1.1376,                 1.8986,                0.00169,                0.24138,                0.00451,                0.00055,                 4.3788,                    inf,                  31.07,              0.0012923,              0.0012923,              0.0012923
                     22,                 1.1065,                 1.3517,                 1.6388,                0.00169,                0.24138,                0.00451,                0.00055,                 4.3788,                    inf,                  31.07,              0.0013498,              0.0013498,              0.0013498
                     23,                 1.0706,                 1.1863,                 1.5309,                0.00169,                0.24138,                0.00451,                0.00055,                 3.2234,                    inf,                 21.378,              0.0014068,              0.0014068,              0.0014068
                     24,                  1.059,                 1.2084,                 1.6317,                0.00169,                0.24138,                0.00451,                0.00055,                 3.2234,                    inf,                 21.378,              0.0014635,              0.0014635,              0.0014635
                     25,                0.91557,                 1.0861,                 1.4612,                0.00408,                   0.55,                 0.0036,                0.00106,                 3.1727,                 92.801,                 16.361,              0.0015196,              0.0015196,              0.0015196
                     26,                 1.0102,                 1.1496,                 1.5897,                0.00408,                   0.55,                 0.0036,                0.00106,                 3.1727,                 92.801,                 16.361,              0.0015295,              0.0015295,              0.0015295
                     27,                0.91541,                0.95253,                 1.4428,                0.00084,                0.12069,                0.00053,                  9e-05,                 3.6609,                 10.577,                 17.876,              0.0015295,              0.0015295,              0.0015295
